x [um]	Total Charge Density [C/cm^3]
0.55025	-8.04105e-10
0.550901	-8.04942e-10
0.551552	-8.05779e-10
0.552203	-8.06615e-10
0.552853	-8.0745e-10
0.553504	-8.08285e-10
0.554155	-8.0912e-10
0.554806	-8.09953e-10
0.555456	-8.10787e-10
0.556107	-8.11619e-10
0.556758	-8.12451e-10
0.557408	-8.13283e-10
0.558059	-8.14114e-10
0.55871	-8.14945e-10
0.559361	-8.15775e-10
0.560011	-8.16604e-10
0.560662	-8.17433e-10
0.561313	-8.18262e-10
0.561964	-8.1909e-10
0.562614	-8.19917e-10
0.563265	-8.20744e-10
0.563916	-8.21571e-10
0.564567	-8.22397e-10
0.565217	-8.23223e-10
0.565868	-8.24049e-10
0.566519	-8.24874e-10
0.567169	-8.25698e-10
0.56782	-8.26522e-10
0.568471	-8.27346e-10
0.569122	-8.2817e-10
0.569772	-8.28993e-10
0.570423	-8.29815e-10
0.571074	-8.30638e-10
0.571725	-8.31459e-10
0.572375	-8.32281e-10
0.573026	-8.33102e-10
0.573677	-8.33923e-10
0.574328	-8.34744e-10
0.574978	-8.35564e-10
0.575629	-8.36384e-10
0.57628	-8.37203e-10
0.57693	-8.38023e-10
0.577581	-8.38842e-10
0.578232	-8.3966e-10
0.578883	-8.40479e-10
0.579533	-8.41297e-10
0.580184	-8.42115e-10
0.580835	-8.42932e-10
0.581486	-8.4375e-10
0.582136	-8.44567e-10
0.582787	-8.45383e-10
0.583438	-8.462e-10
0.584089	-8.47016e-10
0.584739	-8.47832e-10
0.58539	-8.48648e-10
0.586041	-8.49464e-10
0.586691	-8.50279e-10
0.587342	-8.51094e-10
0.587993	-8.51909e-10
0.588644	-8.52724e-10
0.589294	-8.53538e-10
0.589945	-8.54352e-10
0.590596	-8.55166e-10
0.591247	-8.5598e-10
0.591897	-8.56794e-10
0.592548	-8.57608e-10
0.593199	-8.58421e-10
0.593849	-8.59234e-10
0.5945	-8.60047e-10
0.595151	-8.6086e-10
0.595802	-8.61672e-10
0.596452	-8.62485e-10
0.597103	-8.63297e-10
0.597754	-8.64109e-10
0.598405	-8.64921e-10
0.599055	-8.65733e-10
0.599706	-8.66545e-10
0.600357	-8.67356e-10
0.601008	-8.68168e-10
0.601658	-8.68979e-10
0.602309	-8.6979e-10
0.60296	-8.70601e-10
0.60361	-8.71412e-10
0.604261	-8.72223e-10
0.604912	-8.73033e-10
0.605563	-8.73844e-10
0.606213	-8.74654e-10
0.606864	-8.75464e-10
0.607515	-8.76275e-10
0.608166	-8.77085e-10
0.608816	-8.77895e-10
0.609467	-8.78704e-10
0.610118	-8.79514e-10
0.610769	-8.80324e-10
0.611419	-8.81134e-10
0.61207	-8.81943e-10
0.612721	-8.82752e-10
0.613371	-8.83562e-10
0.614022	-8.84371e-10
0.614673	-8.8518e-10
0.615324	-8.85989e-10
0.615974	-8.86798e-10
0.616625	-8.87607e-10
0.617276	-8.88416e-10
0.617927	-8.89225e-10
0.618577	-8.90033e-10
0.619228	-8.90842e-10
0.619879	-8.91651e-10
0.62053	-8.92459e-10
0.62118	-8.93268e-10
0.621831	-8.94076e-10
0.622482	-8.94885e-10
0.623132	-8.95693e-10
0.623783	-8.96501e-10
0.624434	-8.97309e-10
0.625085	-8.98118e-10
0.625735	-8.98926e-10
0.626386	-8.99734e-10
0.627037	-9.00542e-10
0.627688	-9.0135e-10
0.628338	-9.02158e-10
0.628989	-9.02966e-10
0.62964	-9.03774e-10
0.63029	-9.04582e-10
0.630941	-9.05389e-10
0.631592	-9.06197e-10
0.632243	-9.07005e-10
0.632893	-9.07813e-10
0.633544	-9.08621e-10
0.634195	-9.09428e-10
0.634846	-9.10236e-10
0.635496	-9.11044e-10
0.636147	-9.11851e-10
0.636798	-9.12659e-10
0.637449	-9.13467e-10
0.638099	-9.14274e-10
0.63875	-9.15082e-10
0.639401	-9.1589e-10
0.640051	-9.16697e-10
0.640702	-9.17505e-10
0.641353	-9.18312e-10
0.642004	-9.1912e-10
0.642654	-9.19927e-10
0.643305	-9.20735e-10
0.643956	-9.21543e-10
0.644607	-9.2235e-10
0.645257	-9.23158e-10
0.645908	-9.23965e-10
0.646559	-9.24773e-10
0.64721	-9.2558e-10
0.64786	-9.26388e-10
0.648511	-9.27195e-10
0.649162	-9.28003e-10
0.649812	-9.28811e-10
0.650463	-9.29618e-10
0.651114	-9.30426e-10
0.651765	-9.31233e-10
0.652415	-9.32041e-10
0.653066	-9.32849e-10
0.653717	-9.33656e-10
0.654368	-9.34464e-10
0.655018	-9.35272e-10
0.655669	-9.36079e-10
0.65632	-9.36887e-10
0.656971	-9.37695e-10
0.657621	-9.38503e-10
0.658272	-9.3931e-10
0.658923	-9.40118e-10
0.659573	-9.40926e-10
0.660224	-9.41734e-10
0.660875	-9.42541e-10
0.661526	-9.43349e-10
0.662176	-9.44157e-10
0.662827	-9.44965e-10
0.663478	-9.45773e-10
0.664129	-9.46581e-10
0.664779	-9.47389e-10
0.66543	-9.48197e-10
0.666081	-9.49005e-10
0.666731	-9.49813e-10
0.667382	-9.50621e-10
0.668033	-9.51429e-10
0.668684	-9.52238e-10
0.669334	-9.53046e-10
0.669985	-9.53854e-10
0.670636	-9.54662e-10
0.671287	-9.5547e-10
0.671937	-9.56279e-10
0.672588	-9.57087e-10
0.673239	-9.57896e-10
0.67389	-9.58704e-10
0.67454	-9.59512e-10
0.675191	-9.60321e-10
0.675842	-9.61129e-10
0.676492	-9.61938e-10
0.677143	-9.62747e-10
0.677794	-9.63555e-10
0.678445	-9.64364e-10
0.679095	-9.65173e-10
0.679746	-9.65981e-10
0.680397	-9.6679e-10
0.681048	-9.67599e-10
0.681698	-9.68408e-10
0.682349	-9.69217e-10
0.683	-9.70026e-10
0.683651	-9.70835e-10
0.684301	-9.71644e-10
0.684952	-9.72453e-10
0.685603	-9.73262e-10
0.686253	-9.74071e-10
0.686904	-9.7488e-10
0.687555	-9.7569e-10
0.688206	-9.76499e-10
0.688856	-9.77308e-10
0.689507	-9.78118e-10
0.690158	-9.78927e-10
0.690809	-9.79737e-10
0.691459	-9.80546e-10
0.69211	-9.81356e-10
0.692761	-9.82165e-10
0.693412	-9.82975e-10
0.694062	-9.83785e-10
0.694713	-9.84595e-10
0.695364	-9.85404e-10
0.696014	-9.86214e-10
0.696665	-9.87024e-10
0.697316	-9.87834e-10
0.697967	-9.88644e-10
0.698617	-9.89454e-10
0.699268	-9.90264e-10
0.699919	-9.91075e-10
0.70057	-9.91885e-10
0.70122	-9.92695e-10
0.701871	-9.93505e-10
0.702522	-9.94316e-10
0.703172	-9.95126e-10
0.703823	-9.95937e-10
0.704474	-9.96747e-10
0.705125	-9.97558e-10
0.705775	-9.98368e-10
0.706426	-9.99179e-10
0.707077	-9.9999e-10
0.707728	-1.0008e-09
0.708378	-1.00161e-09
0.709029	-1.00242e-09
0.70968	-1.00323e-09
0.710331	-1.00404e-09
0.710981	-1.00486e-09
0.711632	-1.00567e-09
0.712283	-1.00648e-09
0.712933	-1.00729e-09
0.713584	-1.0081e-09
0.714235	-1.00891e-09
0.714886	-1.00972e-09
0.715536	-1.01053e-09
0.716187	-1.01135e-09
0.716838	-1.01216e-09
0.717489	-1.01297e-09
0.718139	-1.01378e-09
0.71879	-1.01459e-09
0.719441	-1.0154e-09
0.720092	-1.01622e-09
0.720742	-1.01703e-09
0.721393	-1.01784e-09
0.722044	-1.01865e-09
0.722694	-1.01946e-09
0.723345	-1.02028e-09
0.723996	-1.02109e-09
0.724647	-1.0219e-09
0.725297	-1.02271e-09
0.725948	-1.02352e-09
0.726599	-1.02434e-09
0.72725	-1.02515e-09
0.7279	-1.02596e-09
0.728551	-1.02677e-09
0.729202	-1.02759e-09
0.729853	-1.0284e-09
0.730503	-1.02921e-09
0.731154	-1.03003e-09
0.731805	-1.03084e-09
0.732455	-1.03165e-09
0.733106	-1.03246e-09
0.733757	-1.03328e-09
0.734408	-1.03409e-09
0.735058	-1.0349e-09
0.735709	-1.03572e-09
0.73636	-1.03653e-09
0.737011	-1.03734e-09
0.737661	-1.03816e-09
0.738312	-1.03897e-09
0.738963	-1.03978e-09
0.739614	-1.0406e-09
0.740264	-1.04141e-09
0.740915	-1.04223e-09
0.741566	-1.04304e-09
0.742216	-1.04385e-09
0.742867	-1.04467e-09
0.743518	-1.04548e-09
0.744169	-1.04629e-09
0.744819	-1.04711e-09
0.74547	-1.04792e-09
0.746121	-1.04874e-09
0.746772	-1.04955e-09
0.747422	-1.05037e-09
0.748073	-1.05118e-09
