x [um]	Ec	Ev	Ei	Efn	Efp
0.31859	0.302983	-0.817017	-0.257017	-0.09133	-0.603593
0.31924	0.302983	-0.817017	-0.257017	-0.0911957	-0.603593
0.319891	0.302983	-0.817017	-0.257017	-0.0910621	-0.603592
0.320542	0.302983	-0.817017	-0.257017	-0.0909292	-0.603592
0.321193	0.302983	-0.817017	-0.257017	-0.0907969	-0.603592
0.321843	0.302983	-0.817017	-0.257017	-0.0906653	-0.603592
0.322494	0.302984	-0.817016	-0.257016	-0.0905344	-0.603592
0.323145	0.302984	-0.817016	-0.257016	-0.0904041	-0.603592
0.323796	0.302984	-0.817016	-0.257016	-0.0902745	-0.603592
0.324446	0.302984	-0.817016	-0.257016	-0.0901456	-0.603592
0.325097	0.302984	-0.817016	-0.257016	-0.0900172	-0.603592
0.325748	0.302984	-0.817016	-0.257016	-0.0898895	-0.603592
0.326399	0.302984	-0.817016	-0.257016	-0.0897625	-0.603592
0.327049	0.302985	-0.817015	-0.257015	-0.089636	-0.603592
0.3277	0.302985	-0.817015	-0.257015	-0.0895102	-0.603592
0.328351	0.302985	-0.817015	-0.257015	-0.089385	-0.603592
0.329001	0.302985	-0.817015	-0.257015	-0.0892604	-0.603592
0.329652	0.302985	-0.817015	-0.257015	-0.0891364	-0.603592
0.330303	0.302985	-0.817015	-0.257015	-0.0890129	-0.603592
0.330954	0.302985	-0.817015	-0.257015	-0.0888901	-0.603592
0.331604	0.302986	-0.817014	-0.257014	-0.0887679	-0.603592
0.332255	0.302986	-0.817014	-0.257014	-0.0886462	-0.603592
0.332906	0.302986	-0.817014	-0.257014	-0.0885251	-0.603592
0.333557	0.302986	-0.817014	-0.257014	-0.0884045	-0.603592
0.334207	0.302986	-0.817014	-0.257014	-0.0882845	-0.603592
0.334858	0.302986	-0.817014	-0.257014	-0.0881651	-0.603592
0.335509	0.302986	-0.817014	-0.257014	-0.0880462	-0.603592
0.33616	0.302987	-0.817013	-0.257013	-0.0879278	-0.603592
0.33681	0.302987	-0.817013	-0.257013	-0.08781	-0.603592
0.337461	0.302987	-0.817013	-0.257013	-0.0876928	-0.603592
0.338112	0.302987	-0.817013	-0.257013	-0.087576	-0.603592
0.338762	0.302987	-0.817013	-0.257013	-0.0874598	-0.603592
0.339413	0.302987	-0.817013	-0.257013	-0.0873441	-0.603592
0.340064	0.302987	-0.817013	-0.257013	-0.0872289	-0.603592
0.340715	0.302987	-0.817013	-0.257013	-0.0871143	-0.603592
0.341365	0.302988	-0.817012	-0.257012	-0.0870001	-0.603592
