x [um]	Potential [eV]
0.975179	0.248554
0.975829	0.248554
0.97648	0.248554
0.977131	0.248554
0.977781	0.248554
0.978432	0.248553
0.979083	0.248553
0.979734	0.248553
0.980384	0.248553
0.981035	0.248553
0.981686	0.248553
0.982337	0.248553
0.982987	0.248552
0.983638	0.248552
0.984289	0.248552
0.98494	0.248552
0.98559	0.248552
0.986241	0.248552
0.986892	0.248552
0.987542	0.248552
0.988193	0.248551
0.988844	0.248551
0.989495	0.248551
0.990145	0.248551
0.990796	0.248551
0.991447	0.248551
0.992098	0.248551
0.992748	0.24855
0.993399	0.24855
0.99405	0.24855
0.994701	0.24855
0.995351	0.24855
0.996002	0.24855
0.996653	0.24855
0.997303	0.248549
0.997954	0.248549
0.998605	0.248549
0.999256	0.248549
0.999906	0.248549
1.00056	0.248549
1.00121	0.248549
1.00186	0.248549
1.00251	0.248548
1.00316	0.248548
1.00381	0.248548
1.00446	0.248548
1.00511	0.248548
1.00576	0.248548
1.00641	0.248548
1.00706	0.248547
1.00772	0.248547
1.00837	0.248547
1.00902	0.248547
1.00967	0.248547
1.01032	0.248547
1.01097	0.248547
1.01162	0.248546
1.01227	0.248546
1.01292	0.248546
1.01357	0.248546
1.01422	0.248546
1.01487	0.248546
1.01552	0.248546
1.01617	0.248546
1.01683	0.248545
1.01748	0.248545
1.01813	0.248545
1.01878	0.248545
1.01943	0.248545
1.02008	0.248545
1.02073	0.248545
1.02138	0.248544
1.02203	0.248544
1.02268	0.248544
1.02333	0.248544
1.02398	0.248544
1.02463	0.248544
1.02528	0.248544
1.02594	0.248543
1.02659	0.248543
1.02724	0.248543
1.02789	0.248543
1.02854	0.248543
1.02919	0.248543
1.02984	0.248543
1.03049	0.248543
1.03114	0.248542
1.03179	0.248542
1.03244	0.248542
1.03309	0.248542
1.03374	0.248542
1.0344	0.248542
1.03505	0.248542
1.0357	0.248541
1.03635	0.248541
1.037	0.248541
1.03765	0.248541
1.0383	0.248541
1.03895	0.248541
1.0396	0.248541
1.04025	0.24854
1.0409	0.24854
1.04155	0.24854
1.0422	0.24854
1.04285	0.24854
1.04351	0.24854
1.04416	0.24854
1.04481	0.24854
1.04546	0.248539
1.04611	0.248539
1.04676	0.248539
1.04741	0.248539
1.04806	0.248539
1.04871	0.248539
1.04936	0.248539
1.05001	0.248538
1.05066	0.248538
1.05131	0.248538
1.05196	0.248538
1.05262	0.248538
1.05327	0.248538
1.05392	0.248538
1.05457	0.248538
1.05522	0.248537
1.05587	0.248537
1.05652	0.248537
1.05717	0.248537
1.05782	0.248537
1.05847	0.248537
1.05912	0.248537
1.05977	0.248536
1.06042	0.248536
1.06108	0.248536
1.06173	0.248536
1.06238	0.248536
1.06303	0.248536
1.06368	0.248536
1.06433	0.248535
1.06498	0.248535
1.06563	0.248535
1.06628	0.248535
1.06693	0.248535
1.06758	0.248535
1.06823	0.248535
1.06888	0.248535
1.06953	0.248534
