x [um]	Electron Densities [1/cm^3]	Hole Densities [1/cm^3]
0.314035	8.79819e+12	1.00088e+16
0.314685	8.84573e+12	1.00088e+16
0.315336	8.89326e+12	1.00089e+16
0.315987	8.9408e+12	1.00089e+16
0.316638	8.98833e+12	1.0009e+16
0.317288	9.03586e+12	1.0009e+16
0.317939	9.0834e+12	1.00091e+16
0.31859	9.13093e+12	1.00091e+16
0.31924	9.17846e+12	1.00092e+16
0.319891	9.226e+12	1.00092e+16
0.320542	9.27353e+12	1.00093e+16
0.321193	9.32106e+12	1.00093e+16
0.321843	9.36859e+12	1.00094e+16
0.322494	9.41613e+12	1.00094e+16
0.323145	9.46366e+12	1.00095e+16
0.323796	9.51119e+12	1.00095e+16
0.324446	9.55872e+12	1.00096e+16
0.325097	9.60625e+12	1.00096e+16
0.325748	9.65378e+12	1.00097e+16
0.326399	9.70131e+12	1.00097e+16
0.327049	9.74884e+12	1.00097e+16
0.3277	9.79637e+12	1.00098e+16
0.328351	9.8439e+12	1.00098e+16
0.329001	9.89143e+12	1.00099e+16
0.329652	9.93896e+12	1.00099e+16
0.330303	9.98649e+12	1.001e+16
0.330954	1.0034e+13	1.001e+16
0.331604	1.00815e+13	1.00101e+16
0.332255	1.01291e+13	1.00101e+16
0.332906	1.01766e+13	1.00102e+16
0.333557	1.02241e+13	1.00102e+16
0.334207	1.02717e+13	1.00103e+16
0.334858	1.03192e+13	1.00103e+16
0.335509	1.03667e+13	1.00104e+16
0.33616	1.04142e+13	1.00104e+16
0.33681	1.04618e+13	1.00105e+16
0.337461	1.05093e+13	1.00105e+16
0.338112	1.05568e+13	1.00106e+16
0.338762	1.06043e+13	1.00106e+16
0.339413	1.06519e+13	1.00107e+16
0.340064	1.06994e+13	1.00107e+16
0.340715	1.07469e+13	1.00107e+16
0.341365	1.07944e+13	1.00108e+16
0.342016	1.0842e+13	1.00108e+16
0.342667	1.08895e+13	1.00109e+16
0.343318	1.0937e+13	1.00109e+16
0.343968	1.09845e+13	1.0011e+16
0.344619	1.10321e+13	1.0011e+16
0.34527	1.10796e+13	1.00111e+16
0.345921	1.11271e+13	1.00111e+16
0.346571	1.11746e+13	1.00112e+16
0.347222	1.12222e+13	1.00112e+16
0.347873	1.12697e+13	1.00113e+16
0.348523	1.13172e+13	1.00113e+16
0.349174	1.13647e+13	1.00114e+16
0.349825	1.14122e+13	1.00114e+16
0.350476	1.14598e+13	1.00115e+16
0.351126	1.15073e+13	1.00115e+16
0.351777	1.15548e+13	1.00116e+16
0.352428	1.16023e+13	1.00116e+16
0.353079	1.16499e+13	1.00116e+16
0.353729	1.16974e+13	1.00117e+16
0.35438	1.17449e+13	1.00117e+16
0.355031	1.17924e+13	1.00118e+16
0.355681	1.18399e+13	1.00118e+16
0.356332	1.18875e+13	1.00119e+16
0.356983	1.1935e+13	1.00119e+16
0.357634	1.19825e+13	1.0012e+16
0.358284	1.203e+13	1.0012e+16
0.358935	1.20775e+13	1.00121e+16
0.359586	1.2125e+13	1.00121e+16
0.360237	1.21726e+13	1.00122e+16
0.360887	1.22201e+13	1.00122e+16
0.361538	1.22676e+13	1.00123e+16
0.362189	1.23151e+13	1.00123e+16
0.36284	1.23626e+13	1.00124e+16
0.36349	1.24102e+13	1.00124e+16
0.364141	1.24577e+13	1.00125e+16
0.364792	1.25052e+13	1.00125e+16
0.365442	1.25527e+13	1.00126e+16
0.366093	1.26002e+13	1.00126e+16
0.366744	1.26477e+13	1.00126e+16
0.367395	1.26952e+13	1.00127e+16
0.368045	1.27428e+13	1.00127e+16
0.368696	1.27903e+13	1.00128e+16
0.369347	1.28378e+13	1.00128e+16
0.369998	1.28853e+13	1.00129e+16
0.370648	1.29328e+13	1.00129e+16
0.371299	1.29803e+13	1.0013e+16
0.37195	1.30278e+13	1.0013e+16
0.372601	1.30754e+13	1.00131e+16
0.373251	1.31229e+13	1.00131e+16
0.373902	1.31704e+13	1.00132e+16
0.374553	1.32179e+13	1.00132e+16
0.375203	1.32654e+13	1.00133e+16
0.375854	1.33129e+13	1.00133e+16
0.376505	1.33604e+13	1.00134e+16
0.377156	1.34079e+13	1.00134e+16
0.377806	1.34555e+13	1.00135e+16
0.378457	1.3503e+13	1.00135e+16
0.379108	1.35505e+13	1.00135e+16
0.379759	1.3598e+13	1.00136e+16
0.380409	1.36455e+13	1.00136e+16
0.38106	1.3693e+13	1.00137e+16
0.381711	1.37405e+13	1.00137e+16
0.382362	1.3788e+13	1.00138e+16
0.383012	1.38355e+13	1.00138e+16
0.383663	1.38831e+13	1.00139e+16
0.384314	1.39306e+13	1.00139e+16
0.384964	1.39781e+13	1.0014e+16
0.385615	1.40256e+13	1.0014e+16
0.386266	1.40731e+13	1.00141e+16
0.386917	1.41206e+13	1.00141e+16
0.387567	1.41681e+13	1.00142e+16
0.388218	1.42156e+13	1.00142e+16
0.388869	1.42631e+13	1.00143e+16
0.38952	1.43106e+13	1.00143e+16
0.39017	1.43581e+13	1.00144e+16
0.390821	1.44056e+13	1.00144e+16
0.391472	1.44531e+13	1.00145e+16
0.392122	1.45007e+13	1.00145e+16
0.392773	1.45482e+13	1.00145e+16
0.393424	1.45957e+13	1.00146e+16
0.394075	1.46432e+13	1.00146e+16
0.394725	1.46907e+13	1.00147e+16
0.395376	1.47382e+13	1.00147e+16
0.396027	1.47857e+13	1.00148e+16
0.396678	1.48332e+13	1.00148e+16
0.397328	1.48807e+13	1.00149e+16
0.397979	1.49282e+13	1.00149e+16
0.39863	1.49757e+13	1.0015e+16
0.399281	1.50232e+13	1.0015e+16
0.399931	1.50707e+13	1.00151e+16
0.400582	1.51182e+13	1.00151e+16
0.401233	1.51657e+13	1.00152e+16
0.401883	1.52132e+13	1.00152e+16
0.402534	1.52607e+13	1.00153e+16
0.403185	1.53082e+13	1.00153e+16
0.403836	1.53557e+13	1.00154e+16
0.404486	1.54032e+13	1.00154e+16
0.405137	1.54507e+13	1.00154e+16
0.405788	1.54982e+13	1.00155e+16
0.406439	1.55457e+13	1.00155e+16
0.407089	1.55932e+13	1.00156e+16
0.40774	1.56407e+13	1.00156e+16
0.408391	1.56882e+13	1.00157e+16
0.409042	1.57357e+13	1.00157e+16
0.409692	1.57832e+13	1.00158e+16
0.410343	1.58307e+13	1.00158e+16
0.410994	1.58782e+13	1.00159e+16
0.411644	1.59257e+13	1.00159e+16
0.412295	1.59732e+13	1.0016e+16
0.412946	1.60207e+13	1.0016e+16
0.413597	1.60682e+13	1.00161e+16
0.414247	1.61157e+13	1.00161e+16
0.414898	1.61632e+13	1.00162e+16
0.415549	1.62107e+13	1.00162e+16
0.4162	1.62582e+13	1.00163e+16
0.41685	1.63057e+13	1.00163e+16
0.417501	1.63532e+13	1.00163e+16
0.418152	1.64007e+13	1.00164e+16
0.418803	1.64482e+13	1.00164e+16
0.419453	1.64957e+13	1.00165e+16
0.420104	1.65432e+13	1.00165e+16
