x [um]	Electric Field [V/cm]	Electric Field [V/cm]
0.415549	2.10888	2.10889
0.4162	2.10886	2.10887
0.41685	2.10885	2.10886
0.417501	2.10883	2.10884
0.418152	2.10882	2.10882
0.418803	2.1088	2.10881
0.419453	2.10878	2.10879
0.420104	2.10877	2.10878
0.420755	2.10875	2.10876
0.421405	2.10873	2.10874
0.422056	2.10872	2.10873
0.422707	2.1087	2.10871
0.423358	2.10868	2.10869
0.424008	2.10867	2.10868
0.424659	2.10865	2.10866
0.42531	2.10863	2.10864
0.425961	2.10862	2.10863
0.426611	2.1086	2.10861
0.427262	2.10858	2.10859
0.427913	2.10857	2.10858
0.428563	2.10855	2.10856
0.429214	2.10853	2.10854
0.429865	2.10852	2.10852
0.430516	2.1085	2.10851
0.431166	2.10848	2.10849
0.431817	2.10846	2.10847
0.432468	2.10845	2.10846
0.433119	2.10843	2.10844
0.433769	2.10841	2.10842
0.43442	2.10839	2.1084
0.435071	2.10838	2.10839
0.435722	2.10836	2.10837
0.436372	2.10834	2.10835
0.437023	2.10832	2.10833
0.437674	2.10831	2.10831
0.438324	2.10829	2.1083
0.438975	2.10827	2.10828
0.439626	2.10825	2.10826
0.440277	2.10823	2.10824
0.440927	2.10822	2.10823
0.441578	2.1082	2.10821
0.442229	2.10818	2.10819
0.44288	2.10816	2.10817
0.44353	2.10814	2.10815
0.444181	2.10813	2.10814
0.444832	2.10811	2.10812
0.445483	2.10809	2.1081
0.446133	2.10807	2.10808
0.446784	2.10805	2.10806
0.447435	2.10804	2.10804
0.448085	2.10802	2.10803
0.448736	2.108	2.10801
0.449387	2.10798	2.10799
0.450038	2.10796	2.10797
0.450688	2.10794	2.10795
0.451339	2.10793	2.10793
0.45199	2.10791	2.10792
0.452641	2.10789	2.1079
0.453291	2.10787	2.10788
0.453942	2.10785	2.10786
0.454593	2.10783	2.10784
0.455244	2.10781	2.10782
0.455894	2.1078	2.1078
0.456545	2.10778	2.10779
0.457196	2.10776	2.10777
0.457846	2.10774	2.10775
0.458497	2.10772	2.10773
0.459148	2.1077	2.10771
0.459799	2.10768	2.10769
0.460449	2.10766	2.10767
0.4611	2.10764	2.10765
0.461751	2.10763	2.10764
0.462402	2.10761	2.10762
0.463052	2.10759	2.1076
0.463703	2.10757	2.10758
0.464354	2.10755	2.10756
0.465005	2.10753	2.10754
0.465655	2.10751	2.10752
0.466306	2.10749	2.1075
0.466957	2.10747	2.10748
0.467607	2.10745	2.10746
0.468258	2.10744	2.10745
0.468909	2.10742	2.10743
0.46956	2.1074	2.10741
0.47021	2.10738	2.10739
0.470861	2.10736	2.10737
0.471512	2.10734	2.10735
0.472163	2.10732	2.10733
