x [um]	Total Current Density [Amp/cm^2]
0.595151	4.1795
0.595802	4.17951
0.596452	4.17951
0.597103	4.17952
0.597754	4.17952
0.598405	4.17953
0.599055	4.17954
0.599706	4.17954
0.600357	4.17955
0.601008	4.17955
0.601658	4.17956
0.602309	4.17957
0.60296	4.17957
0.60361	4.17958
0.604261	4.17959
0.604912	4.17959
0.605563	4.1796
0.606213	4.1796
0.606864	4.17961
0.607515	4.17962
0.608166	4.17962
0.608816	4.17963
0.609467	4.17964
0.610118	4.17964
0.610769	4.17965
0.611419	4.17965
0.61207	4.17966
0.612721	4.17967
0.613371	4.17967
0.614022	4.17968
0.614673	4.17969
0.615324	4.17969
0.615974	4.1797
0.616625	4.17971
0.617276	4.17971
0.617927	4.17972
0.618577	4.17972
0.619228	4.17973
0.619879	4.17974
0.62053	4.17974
0.62118	4.17975
0.621831	4.17976
0.622482	4.17976
0.623132	4.17977
0.623783	4.17978
0.624434	4.17978
0.625085	4.17979
0.625735	4.1798
0.626386	4.1798
0.627037	4.17981
0.627688	4.17982
0.628338	4.17982
0.628989	4.17983
0.62964	4.17984
0.63029	4.17984
0.630941	4.17985
0.631592	4.17985
0.632243	4.17986
0.632893	4.17987
0.633544	4.17987
0.634195	4.17988
0.634846	4.17989
0.635496	4.17989
0.636147	4.1799
0.636798	4.17991
0.637449	4.17991
0.638099	4.17992
0.63875	4.17993
0.639401	4.17994
0.640051	4.17994
0.640702	4.17995
0.641353	4.17996
0.642004	4.17996
0.642654	4.17997
0.643305	4.17998
0.643956	4.17998
0.644607	4.17999
0.645257	4.18
0.645908	4.18
0.646559	4.18001
0.64721	4.18002
0.64786	4.18002
0.648511	4.18003
0.649162	4.18004
0.649812	4.18004
0.650463	4.18005
0.651114	4.18006
0.651765	4.18007
0.652415	4.18007
0.653066	4.18008
0.653717	4.18009
0.654368	4.18009
0.655018	4.1801
0.655669	4.18011
0.65632	4.18011
0.656971	4.18012
0.657621	4.18013
0.658272	4.18013
0.658923	4.18014
0.659573	4.18015
0.660224	4.18016
0.660875	4.18016
0.661526	4.18017
0.662176	4.18018
0.662827	4.18018
0.663478	4.18019
0.664129	4.1802
0.664779	4.18021
0.66543	4.18021
0.666081	4.18022
0.666731	4.18023
0.667382	4.18023
0.668033	4.18024
0.668684	4.18025
0.669334	4.18026
0.669985	4.18026
0.670636	4.18027
0.671287	4.18028
0.671937	4.18028
0.672588	4.18029
0.673239	4.1803
0.67389	4.18031
0.67454	4.18031
0.675191	4.18032
0.675842	4.18033
0.676492	4.18034
0.677143	4.18034
0.677794	4.18035
0.678445	4.18036
0.679095	4.18036
0.679746	4.18037
0.680397	4.18038
0.681048	4.18039
0.681698	4.18039
0.682349	4.1804
0.683	4.18041
0.683651	4.18042
0.684301	4.18042
0.684952	4.18043
0.685603	4.18044
0.686253	4.18045
0.686904	4.18045
0.687555	4.18046
0.688206	4.18047
0.688856	4.18048
0.689507	4.18048
0.690158	4.18049
0.690809	4.1805
0.691459	4.18051
0.69211	4.18051
0.692761	4.18052
0.693412	4.18053
0.694062	4.18054
0.694713	4.18054
0.695364	4.18055
0.696014	4.18056
0.696665	4.18057
0.697316	4.18057
0.697967	4.18058
0.698617	4.18059
0.699268	4.1806
0.699919	4.1806
0.70057	4.18061
0.70122	4.18062
0.701871	4.18063
0.702522	4.18064
0.703172	4.18064
0.703823	4.18065
0.704474	4.18066
0.705125	4.18067
0.705775	4.18067
0.706426	4.18068
0.707077	4.18069
0.707728	4.1807
0.708378	4.1807
0.709029	4.18071
0.70968	4.18072
0.710331	4.18073
0.710981	4.18074
0.711632	4.18074
0.712283	4.18075
0.712933	4.18076
0.713584	4.18077
0.714235	4.18078
0.714886	4.18078
0.715536	4.18079
0.716187	4.1808
0.716838	4.18081
0.717489	4.18081
0.718139	4.18082
0.71879	4.18083
0.719441	4.18084
0.720092	4.18085
0.720742	4.18085
0.721393	4.18086
0.722044	4.18087
0.722694	4.18088
0.723345	4.18089
0.723996	4.18089
0.724647	4.1809
0.725297	4.18091
0.725948	4.18092
0.726599	4.18093
0.72725	4.18093
0.7279	4.18094
0.728551	4.18095
0.729202	4.18096
0.729853	4.18097
0.730503	4.18098
0.731154	4.18098
0.731805	4.18099
0.732455	4.181
0.733106	4.18101
0.733757	4.18102
0.734408	4.18102
0.735058	4.18103
0.735709	4.18104
0.73636	4.18105
0.737011	4.18106
0.737661	4.18107
0.738312	4.18107
0.738963	4.18108
0.739614	4.18109
0.740264	4.1811
0.740915	4.18111
0.741566	4.18111
0.742216	4.18112
0.742867	4.18113
0.743518	4.18114
0.744169	4.18115
0.744819	4.18116
0.74547	4.18116
0.746121	4.18117
0.746772	4.18118
0.747422	4.18119
0.748073	4.1812
0.748724	4.18121
0.749374	4.18121
0.750025	4.18122
0.750676	4.18123
0.751327	4.18124
0.751977	4.18125
0.752628	4.18126
0.753279	4.18127
0.75393	4.18127
0.75458	4.18128
0.755231	4.18129
0.755882	4.1813
0.756533	4.18131
0.757183	4.18132
0.757834	4.18132
0.758485	4.18133
0.759135	4.18134
0.759786	4.18135
0.760437	4.18136
0.761088	4.18137
0.761738	4.18138
0.762389	4.18138
0.76304	4.18139
0.763691	4.1814
0.764341	4.18141
0.764992	4.18142
0.765643	4.18143
0.766294	4.18144
0.766944	4.18144
0.767595	4.18145
0.768246	4.18146
0.768896	4.18147
0.769547	4.18148
0.770198	4.18149
0.770849	4.1815
0.771499	4.18151
0.77215	4.18151
0.772801	4.18152
0.773452	4.18153
0.774102	4.18154
0.774753	4.18155
0.775404	4.18156
0.776055	4.18157
0.776705	4.18158
0.777356	4.18158
0.778007	4.18159
0.778657	4.1816
0.779308	4.18161
0.779959	4.18162
0.78061	4.18163
0.78126	4.18164
0.781911	4.18165
0.782562	4.18166
0.783213	4.18166
0.783863	4.18167
0.784514	4.18168
0.785165	4.18169
0.785815	4.1817
0.786466	4.18171
0.787117	4.18172
0.787768	4.18173
0.788418	4.18174
0.789069	4.18175
0.78972	4.18175
0.790371	4.18176
0.791021	4.18177
0.791672	4.18178
0.792323	4.18179
0.792974	4.1818
0.793624	4.18181
0.794275	4.18182
0.794926	4.18183
0.795576	4.18184
0.796227	4.18184
0.796878	4.18185
0.797529	4.18186
0.798179	4.18187
0.79883	4.18188
0.799481	4.18189
0.800132	4.1819
0.800782	4.18191
0.801433	4.18192
0.802084	4.18193
0.802735	4.18194
0.803385	4.18195
0.804036	4.18195
0.804687	4.18196
0.805337	4.18197
0.805988	4.18198
0.806639	4.18199
0.80729	4.182
0.80794	4.18201
0.808591	4.18202
0.809242	4.18203
0.809893	4.18204
0.810543	4.18205
0.811194	4.18206
0.811845	4.18207
0.812496	4.18208
0.813146	4.18208
0.813797	4.18209
0.814448	4.1821
0.815098	4.18211
0.815749	4.18212
0.8164	4.18213
0.817051	4.18214
0.817701	4.18215
0.818352	4.18216
0.819003	4.18217
0.819654	4.18218
0.820304	4.18219
0.820955	4.1822
0.821606	4.18221
0.822256	4.18222
0.822907	4.18223
0.823558	4.18224
0.824209	4.18225
0.824859	4.18226
0.82551	4.18226
0.826161	4.18227
0.826812	4.18228
0.827462	4.18229
0.828113	4.1823
0.828764	4.18231
0.829415	4.18232
0.830065	4.18233
0.830716	4.18234
0.831367	4.18235
0.832017	4.18236
0.832668	4.18237
0.833319	4.18238
0.83397	4.18239
0.83462	4.1824
0.835271	4.18241
0.835922	4.18242
0.836573	4.18243
0.837223	4.18244
0.837874	4.18245
0.838525	4.18246
0.839176	4.18247
0.839826	4.18248
0.840477	4.18249
0.841128	4.1825
0.841778	4.18251
0.842429	4.18252
0.84308	4.18253
0.843731	4.18254
0.844381	4.18255
0.845032	4.18256
0.845683	4.18257
0.846334	4.18258
0.846984	4.18258
0.847635	4.18259
0.848286	4.1826
0.848937	4.18261
0.849587	4.18262
0.850238	4.18263
0.850889	4.18264
0.851539	4.18265
0.85219	4.18266
0.852841	4.18267
0.853492	4.18268
0.854142	4.18269
0.854793	4.1827
0.855444	4.18271
0.856095	4.18272
0.856745	4.18273
0.857396	4.18274
0.858047	4.18275
0.858697	4.18276
0.859348	4.18277
0.859999	4.18278
0.86065	4.18279
0.8613	4.1828
0.861951	4.18281
0.862602	4.18282
0.863253	4.18283
0.863903	4.18284
0.864554	4.18286
0.865205	4.18287
0.865856	4.18288
0.866506	4.18289
0.867157	4.1829
0.867808	4.18291
0.868458	4.18292
0.869109	4.18293
0.86976	4.18294
0.870411	4.18295
0.871061	4.18296
0.871712	4.18297
0.872363	4.18298
0.873014	4.18299
0.873664	4.183
0.874315	4.18301
0.874966	4.18302
0.875617	4.18303
0.876267	4.18304
0.876918	4.18305
0.877569	4.18306
0.878219	4.18307
0.87887	4.18308
0.879521	4.18309
0.880172	4.1831
