x [um]	Potential [V]	Electric Field1 [V/cm]	Electric Field2 [V/cm]	Electron Densities [1/cm^3]	Hole Densities [1/cm^3]	Total Charge Density [C/cm^3]	Conduction Band Energy (eV)
0.258072	-0.346552	-0.0127429	-0.0128445	22500	1e+16	2.04548e+10	0.898227
0.258722	-0.346552	-0.012543	-0.012643	22500	1e+16	2.01339e+10	0.898227
0.259373	-0.346552	-0.0123463	-0.0124447	22500	1e+16	1.98181e+10	0.898227
0.260024	-0.346552	-0.0121526	-0.0122494	22500	1e+16	1.95072e+10	0.898227
0.260675	-0.346552	-0.011962	-0.0120573	22500	1e+16	1.92012e+10	0.898227
0.261325	-0.346552	-0.0117743	-0.0118681	22500	1e+16	1.89e+10	0.898227
0.261976	-0.346552	-0.0115896	-0.011682	22500	1e+16	1.86035e+10	0.898227
0.262627	-0.346552	-0.0114078	-0.0114987	22500	1e+16	1.83117e+10	0.898227
0.263278	-0.346552	-0.0112289	-0.0113183	22500	1e+16	1.80244e+10	0.898227
0.263928	-0.346552	-0.0110527	-0.0111408	22500	1e+16	1.77417e+10	0.898227
0.264579	-0.346552	-0.0108793	-0.010966	22500	1e+16	1.74634e+10	0.898227
0.26523	-0.346552	-0.0107087	-0.010794	22500	1e+16	1.71894e+10	0.898227
0.26588	-0.346552	-0.0105407	-0.0106247	22500	1e+16	1.69198e+10	0.898227
0.266531	-0.346552	-0.0103753	-0.010458	22500	1e+16	1.66544e+10	0.898227
0.267182	-0.346552	-0.0102126	-0.0102939	22500	1e+16	1.63931e+10	0.898227
0.267833	-0.346552	-0.0100524	-0.0101325	22500	1e+16	1.61359e+10	0.898227
0.268483	-0.346552	-0.00989467	-0.00997352	22500	1e+16	1.58828e+10	0.898227
0.269134	-0.346552	-0.00973946	-0.00981707	22500	1e+16	1.56337e+10	0.898227
0.269785	-0.346552	-0.00958668	-0.00966307	22500	1e+16	1.53884e+10	0.898227
0.270436	-0.346552	-0.00943629	-0.00951148	22500	1e+16	1.5147e+10	0.898227
0.271086	-0.346552	-0.00928826	-0.00936228	22500	1e+16	1.49094e+10	0.898227
0.271737	-0.346552	-0.00914256	-0.00921541	22500	1e+16	1.46755e+10	0.898227
0.272388	-0.346552	-0.00899914	-0.00907085	22500	1e+16	1.44453e+10	0.898227
0.273038	-0.346552	-0.00885797	-0.00892856	22500	1e+16	1.42187e+10	0.898227
0.273689	-0.346552	-0.00871902	-0.0087885	22500	1e+16	1.39957e+10	0.898227
0.27434	-0.346552	-0.00858224	-0.00865063	22500	1e+16	1.37761e+10	0.898227
0.274991	-0.346552	-0.00844761	-0.00851493	22500	1e+16	1.356e+10	0.898227
0.275641	-0.346552	-0.0083151	-0.00838136	22500	1e+16	1.33473e+10	0.898227
0.276292	-0.346552	-0.00818466	-0.00824988	22500	1e+16	1.31379e+10	0.898227
0.276943	-0.346552	-0.00805627	-0.00812046	22500	1e+16	1.29318e+10	0.898227
0.277594	-0.346552	-0.00792989	-0.00799308	22500	1e+16	1.2729e+10	0.898227
0.278244	-0.346552	-0.00780549	-0.00786769	22500	1e+16	1.25293e+10	0.898227
0.278895	-0.346552	-0.00768305	-0.00774427	22500	1e+16	1.23327e+10	0.898227
0.279546	-0.346552	-0.00756253	-0.00762279	22500	1e+16	1.21393e+10	0.898227
0.280197	-0.346552	-0.0074439	-0.00750321	22500	1e+16	1.19488e+10	0.898227
0.280847	-0.346552	-0.00732713	-0.00738551	22500	1e+16	1.17614e+10	0.898227
0.281498	-0.346552	-0.00721219	-0.00726966	22500	1e+16	1.15769e+10	0.898227
0.282149	-0.346552	-0.00709905	-0.00715562	22500	1e+16	1.13953e+10	0.898227
0.282799	-0.346552	-0.00698769	-0.00704337	22500	1e+16	1.12165e+10	0.898227
0.28345	-0.346552	-0.00687807	-0.00693288	22500	1e+16	1.10406e+10	0.898227
0.284101	-0.346552	-0.00677018	-0.00682412	22500	1e+16	1.08674e+10	0.898227
0.284752	-0.346552	-0.00666397	-0.00671708	22500	1e+16	1.06969e+10	0.898227
0.285402	-0.346552	-0.00655944	-0.00661171	22500	1e+16	1.05291e+10	0.898227
0.286053	-0.346552	-0.00645654	-0.00650799	22500	1e+16	1.03639e+10	0.898227
0.286704	-0.346552	-0.00635525	-0.0064059	22500	1e+16	1.02014e+10	0.898227
0.287355	-0.346552	-0.00625556	-0.00630541	22500	1e+16	1.00413e+10	0.898227
0.288005	-0.346552	-0.00615743	-0.00620649	22500	1e+16	9.88381e+09	0.898227
0.288656	-0.346552	-0.00606084	-0.00610913	22500	1e+16	9.72876e+09	0.898227
0.289307	-0.346552	-0.00596576	-0.0060133	22500	1e+16	9.57614e+09	0.898227
0.289958	-0.346552	-0.00587218	-0.00591897	22500	1e+16	9.42592e+09	0.898227
0.290608	-0.346552	-0.00578006	-0.00582612	22500	1e+16	9.27806e+09	0.898227
0.291259	-0.346552	-0.00568939	-0.00573473	22500	1e+16	9.13251e+09	0.898227
0.29191	-0.346552	-0.00560014	-0.00564477	22500	1e+16	8.98925e+09	0.898227
0.29256	-0.346552	-0.00551229	-0.00555622	22500	1e+16	8.84824e+09	0.898227
0.293211	-0.346552	-0.00542582	-0.00546906	22500	1e+16	8.70943e+09	0.898227
0.293862	-0.346552	-0.00534071	-0.00538326	22500	1e+16	8.57281e+09	0.898227
