x [um]	Electron Densities [1/cm^3]	Hole Densities [1/cm^3]
0.24180335181179946	3519541856291.806	1.0003548028053708e+16
0.24245408403479174	3567093877830.441	1.0003595087216572e+16
0.24310481625778402	3614645649895.9814	1.000364215376525e+16
0.2437555484807763	3662197172517.8096	1.0003689227580238e+16
0.24440628070376857	3709748445725.35	1.0003736308543842e+16
0.24505701292676085	3757299469550.004	1.0003783396540284e+16
0.24570774514975313	3804850244023.1523	1.0003830491455578e+16
0.2463584773727454	3852400769178.131	1.000387759317753e+16
0.2470092095957377	3899951045049.202	1.0003924701595696e+16
0.24765994181872997	3947501071670.533	1.000397181660137e+16
0.24831067404172225	3995050849077.1724	1.0004018938087558e+16
0.24896140626471452	4042600377306.0405	1.0004066065948904e+16
0.2496121384877068	4090149656393.8916	1.0004113200081728e+16
0.2502628707106991	4137698686379.2944	1.000416034038398e+16
0.25091360293369136	4185247467300.6025	1.0004207486755242e+16
0.25156433515668364	4232795999197.955	1.0004254639096666e+16
0.2522150673796759	4280344282112.263	1.00043017973109e+16
0.2528657996026682	4327892316083.18	1.000434896130213e+16
0.2535165318256605	4375440101154.0527	1.0004396130976102e+16
0.25416726404865275	4422987637365.956	1.0004443306239974e+16
0.25481799627164503	4470534924762.634	1.00044904870024e+16
0.2554687284946373	4518081963388.51	1.0004537673173436e+16
0.2561194607176296	4565628753287.645	1.0004584864664574e+16
0.25677019294062187	4613175294504.735	1.0004632061388696e+16
0.25742092516361414	4660721587086.107	1.000467926326001e+16
0.2580716573866064	4708267631077.671	1.0004726470194108e+16
0.2587223896095987	4755813426525.909	1.0004773682107938e+16
0.259373121832591	4803358973478.9	1.0004820898919686e+16
0.26002385405558326	4850904271984.259	1.000486812054886e+16
0.26067458627857554	4898449322091.137	1.0004915346916226e+16
0.2613253185015678	4945994123848.237	1.000496257794375e+16
0.2619760507245601	4993538677305.766	1.0005009813554642e+16
0.2626267829475524	5041082982512.415	1.0005057053673332e+16
0.26327751517054465	5088627039519.363	1.0005104298225424e+16
0.26392824739353693	5136170848378.26	1.0005151547137698e+16
0.2645789796165292	5183714409140.207	1.0005198800338082e+16
0.2652297118395215	5231257721856.742	1.0005246057755662e+16
0.26588044406251377	5278800786579.871	1.0005293319320566e+16
0.26653117628550604	5326343603362.983	1.0005340584964086e+16
0.2671819085084983	5373886172258.911	1.0005387854618534e+16
0.2678326407314906	5421428493321.863	1.0005435128217306e+16
0.2684833729544829	5468970566604.447	1.0005482405694844e+16
0.26913410517747516	5516512392161.622	1.0005529686986642e+16
0.26978483740046744	5564053970048.716	1.0005576972029204e+16
0.2704355696234597	5611595300319.425	1.000562426076001e+16
0.271086301846452	5659136383029.797	1.0005671553117504e+16
0.27173703406944427	5706677218236.208	1.00057188490411e+16
0.27238776629243655	5754217805993.34	1.00057661484712e+16
0.27303849851542883	5801758146358.207	1.0005813451349108e+16
0.2736892307384211	5849298239387.138	1.0005860757617042e+16
0.2743399629614134	5896838085136.739	1.000590806721814e+16
0.27499069518440566	5944377683664.909	1.0005955380096438e+16
0.27564142740739794	5991917035028.84	1.0006002696196818e+16
0.2762921596303902	6039456139285.962	1.0006050015465084e+16
0.2769428918533825	6086994996493.979	1.000609733784788e+16
0.2775936240763748	6134533606711.85	1.000614466329266e+16
0.27824435629936706	6182071969997.806	1.0006191991747676e+16
0.27889508852235934	6229610086410.309	1.0006239323162004e+16
0.2795458207453516	6277147956008.007	1.0006286657485588e+16
0.2801965529683439	6324685578850.806	1.0006333994669092e+16
