x [um]	Potential [V]	Electric Field1 [V/cm]	Electric Field2 [V/cm]	Electron Densities [1/cm^3]	Hole Densities [1/cm^3]	Total Charge Density [C/cm^3]	Conduction Band Energy (eV)
2.710863e-01	-3.465518e-01	-9.288265e-03	-9.362277e-03	2.249997e+04	1.000001e+16	1.490941e+10	8.982267e-01
2.717370e-01	-3.465518e-01	-9.142561e-03	-9.215413e-03	2.249997e+04	1.000001e+16	1.467552e+10	8.982267e-01
2.723878e-01	-3.465518e-01	-8.999142e-03	-9.070852e-03	2.249997e+04	1.000001e+16	1.444531e+10	8.982267e-01
2.730385e-01	-3.465518e-01	-8.857973e-03	-8.928557e-03	2.249997e+04	1.000001e+16	1.421871e+10	8.982267e-01
2.736892e-01	-3.465518e-01	-8.719019e-03	-8.788496e-03	2.249997e+04	1.000001e+16	1.399566e+10	8.982267e-01
2.743400e-01	-3.465518e-01	-8.582244e-03	-8.650631e-03	2.249997e+04	1.000001e+16	1.377611e+10	8.982267e-01
2.749907e-01	-3.465518e-01	-8.447614e-03	-8.514929e-03	2.249997e+04	1.000001e+16	1.356000e+10	8.982267e-01
2.756414e-01	-3.465518e-01	-8.315098e-03	-8.381356e-03	2.249997e+04	1.000001e+16	1.334729e+10	8.982267e-01
2.762922e-01	-3.465518e-01	-8.184660e-03	-8.249879e-03	2.249997e+04	1.000001e+16	1.313791e+10	8.982267e-01
2.769429e-01	-3.465518e-01	-8.056268e-03	-8.120464e-03	2.249997e+04	1.000001e+16	1.293181e+10	8.982267e-01
2.775936e-01	-3.465518e-01	-7.929889e-03	-7.993078e-03	2.249997e+04	1.000001e+16	1.272895e+10	8.982267e-01
2.782444e-01	-3.465518e-01	-7.805493e-03	-7.867691e-03	2.249997e+04	1.000001e+16	1.252927e+10	8.982267e-01
2.788951e-01	-3.465518e-01	-7.683049e-03	-7.744271e-03	2.249997e+04	1.000001e+16	1.233273e+10	8.982267e-01
2.795458e-01	-3.465518e-01	-7.562527e-03	-7.622788e-03	2.249997e+04	1.000001e+16	1.213926e+10	8.982267e-01
2.801966e-01	-3.465518e-01	-7.443895e-03	-7.503211e-03	2.249997e+04	1.000001e+16	1.194884e+10	8.982267e-01
2.808473e-01	-3.465518e-01	-7.327125e-03	-7.385510e-03	2.249997e+04	1.000001e+16	1.176139e+10	8.982267e-01
2.814980e-01	-3.465518e-01	-7.212185e-03	-7.269655e-03	2.249997e+04	1.000001e+16	1.157689e+10	8.982267e-01
2.821487e-01	-3.465518e-01	-7.099047e-03	-7.155616e-03	2.249997e+04	1.000001e+16	1.139529e+10	8.982267e-01
